Id,Display name,Site Handle (visible to searchers in the URL),Site domains,Crawl depth,Search engine,Notes
9150,Air Force Learning Professionals,aflearningprofessionals,www.learningprofessionals.af.mil,Deep,BingV7,
9149,af.mi,af.mil,www.af.mil,Deep,BingV7,
8884,MIT-AF AI Accelerator,af_aiaccelerator,www.aiaccelerator.af.mil,Deep,BingV7,
8883,Yellow Ribbon Reintegration Program,af_yellowribbon,yellowribbon.usaf.afpims.mil,Deep,BingV7,
8837,"Wavelength Detachment 1, 850th Spectrum Warfare Group",af_wavelength,www.wavelength.af.mil,Deep,BingV7,
8784,AFWERX,af_werx,www.afwerx.af.mil,Deep,BingV7,
8760,521st Air Mobility Operations Wing,af_521amow,www.521amow.af.mil,Deep,BingV7,
7583,CSAF Strategic Integration Group,afpw_afsig,www.afsig.af.mil,Deep,BingV7,
7549,Air Force Resilience,afpw_resil,www.resilience.af.mil,Deep,BingV7,
7521,afcca,afcca,afcca.law.af.mil,Deep,BingV7,
7488,Special Warfare Training Wing,afpw_swtw,www.specialwarfaretw.af.mil,Deep,BingV7,
7363,Air Force Inspector General,afpw_afinspectorgeneral,www.afinspectorgeneral.af.mil,Deep,BingV7,
7362,Air Force Innovation,afpw_innovation,www.innovation.af.mil,Deep,BingV7,
7163,12th Flying Training Wing,afpw_12ftw,www.12ftw.af.mil,Deep,BingV7,
6974,Air Force Small Business,afpw_afsb,www.airforcesmallbiz.af.mil,Deep,BingV7,
6949,Curtis E. Lemay Center for Doctrine Development and Education,afpw_lemay,www.doctrine.af.mil,Deep,BingV7,
6946,Air Force Small Business Innovation Research and Small Business Technology Transfer,afpw_sbirsttr,www.afsbirsttr.af.mil,Deep,BingV7,
6922,AFwerX,afpw_afwerx,www.afwerx.af.mil,Deep,BingV7,
6873,2nd Air Force,afpw_2af,www.2af.aetc.af.mil,Deep,BingV7,
6853,"194th Wing, Wahington ANG",afpw_194wg,www.194wg.ang.af.mil,Deep,BingV7,
6769,125th Fighter Wing,afpw_125fw,www.125fw.ang.af.mil,Deep,BingV7,
6766,174th Attack Wing,afpw_174aw,www.174attackwing.ang.af.mil,Deep,BingV7,
6759,Air Force Test Center,afpw_aftc,www.aftc.af.mil,Deep,BingV7,
6752,Air Force BES,afpw_gunter,www.airforcebes.af.mil,Deep,BingV7,
6664,413th Flight Test Group,afpw_413ftg,www.413ftg.afrc.af.mil,Deep,BingV7,
6653,195th Wing,afpw_195wg,www.195wg.ang.af.mil,Deep,BingV7,
